Date,Date,Close Price,Price Difference Class
2018-04-13 22:00:00,2018-04-13 22:00:00,7885.19,0
2018-04-13 23:00:00,2018-04-13 23:00:00,7879.91,1
2018-04-14 00:00:00,2018-04-14 00:00:00,7912.84,1
2018-04-14 01:00:00,2018-04-14 01:00:00,8039.88,0
2018-04-14 02:00:00,2018-04-14 02:00:00,8032.9,1
2018-04-14 03:00:00,2018-04-14 03:00:00,8036.94,0
2018-04-14 04:00:00,2018-04-14 04:00:00,7977.82,0
2018-04-14 05:00:00,2018-04-14 05:00:00,7973.18,1
2018-04-14 06:00:00,2018-04-14 06:00:00,8016.67,1
2018-04-14 07:00:00,2018-04-14 07:00:00,8122.13,1
2018-04-14 08:00:00,2018-04-14 08:00:00,8123.81,0
2018-04-14 09:00:00,2018-04-14 09:00:00,8031.76,0
2018-04-14 10:00:00,2018-04-14 10:00:00,7957.9,1
2018-04-14 11:00:00,2018-04-14 11:00:00,7971.88,0
2018-04-14 12:00:00,2018-04-14 12:00:00,7912.8,1
2018-04-14 13:00:00,2018-04-14 13:00:00,7967.84,1
2018-04-14 14:00:00,2018-04-14 14:00:00,7977.68,0
2018-04-14 15:00:00,2018-04-14 15:00:00,7964.87,1
2018-04-14 16:00:00,2018-04-14 16:00:00,7991.17,0
2018-04-14 17:00:00,2018-04-14 17:00:00,7972.92,1
2018-04-14 18:00:00,2018-04-14 18:00:00,8025.64,0
2018-04-14 19:00:00,2018-04-14 19:00:00,8023.67,1
2018-04-14 20:00:00,2018-04-14 20:00:00,8072.47,0
2018-04-14 21:00:00,2018-04-14 21:00:00,8042.88,1
2018-04-14 22:00:00,2018-04-14 22:00:00,8056.85,0
2018-04-14 23:00:00,2018-04-14 23:00:00,7998.87,1
2018-04-15 00:00:00,2018-04-15 00:00:00,8066.29,1
2018-04-15 01:00:00,2018-04-15 01:00:00,8109.72,0
2018-04-15 02:00:00,2018-04-15 02:00:00,8091.68,0
2018-04-15 03:00:00,2018-04-15 03:00:00,8083.27,1
2018-04-15 04:00:00,2018-04-15 04:00:00,8105.34,1
2018-04-15 05:00:00,2018-04-15 05:00:00,8125.97,0
2018-04-15 06:00:00,2018-04-15 06:00:00,8118.57,0
2018-04-15 07:00:00,2018-04-15 07:00:00,8082.43,1
2018-04-15 08:00:00,2018-04-15 08:00:00,8123.23,0
2018-04-15 09:00:00,2018-04-15 09:00:00,8112.9,1
