tweet id,tweet_text,Time
9.95E+17,"RT @Bitcoin2140com: #CryptoCurrency prices (10 May - 24h):

#Bitcoin: $9,341.90 (+0.88%)
#Ethereum: $761.66 (+1.89%)
#Ripple: $0.7942 (-0.3…",2018-05-10 13:11:00
9.95E+17,"1 Bitcoin ( #BTC )
Dollar: 9327.25$ 

1 Bitcoin Cash ( #BCH )
Dollar: 1,647.41$ 

1 Ethereum ( #ETH )
Dollar: 759.0… https://t.co/I4a6Ls7siM",2018-05-10 13:10:00
9.95E+17,"#cryptocurrency Price Analysis for #Bitsend #BSD : ⬇️
Last Hour Change : -0.52 % || 10-05-2018 15:00
Price in #USD… https://t.co/vBBdVhhQ2B",2018-05-10 13:00:00
9.95E+17,"#CryptoCurrency prices (10 May - 24h):

#Bitcoin: $9,341.90 (+0.88%)
#Ethereum: $761.66 (+1.89%)
#Ripple: $0.7942 (… https://t.co/9vaS6tUuY2",2018-05-10 12:56:00
9.95E+17,"RT @tihosay: 🚀 Starts in 4 days.. Pre-ICO will begin April 15th, 2018 at 10:00 UTC. 40% BONUS 🚀

Register now: https://t.co/gS31OE4gss

#ti…",2018-05-10 12:20:00
9.95E+17,"#cryptocurrency Price Analysis for #Bitsend #BSD : 
Last Hour Change : 0.58 % || 10-05-2018 14:00
Price in #USD : 0… https://t.co/8SNP1kvahg",2018-05-10 12:00:00
9.95E+17,"#cryptocurrency Price Analysis for #Bitsend #BSD : 
Last Hour Change : 0.28 % || 10-05-2018 13:00
Price in #USD : 0… https://t.co/bipC6H5wPu",2018-05-10 11:00:00
9.95E+17,"RT @Thr_Official: #THR Journey 
$13.76 May 7 Day end 
May 8 - Grand Day 
Pic 1 $48 10.00 AM
Pic 2 $143.88 2 PM
Pic 3 $215 6 PM
#Listing #Pr…",2018-05-10 10:56:00
9.95E+17,"Sniper Trade BUY Alert $DGD $BTC 

Symbol Pair : DGDBTC

Binance 1 Hour Chart - 5/10/2018 10:00:00 AM UTC
Price : 0… https://t.co/1BFrIIOpuL",2018-05-10 10:00:00
9.95E+17,"#cryptocurrency Price Analysis for #Bitsend #BSD : ⬇️
Last Hour Change : -0.9 % || 10-05-2018 12:00
Price in #USD :… https://t.co/wHfIDFusvm",2018-05-10 10:00:00
9.95E+17,"RT @FairGameOnline: Dear players, new Fair City Tarpaulin  (FAIR) will open at Singapore time 16:00 PM, May 10, 2018
Fair City: https://t.c…",2018-05-10 09:39:00
9.95E+17,"RT @FairGameOnline: Dear players, new Fair City Tarpaulin  (FAIR) will open at Singapore time 16:00 PM, May 10, 2018
Fair City: https://t.c…",2018-05-10 09:39:00
9.95E+17,"RT @FairGameOnline: Dear players, new Fair City Tarpaulin  (FAIR) will open at Singapore time 16:00 PM, May 10, 2018
Fair City: https://t.c…",2018-05-10 09:37:00
9.95E+17,"#cryptocurrency Price Analysis for #Bitsend #BSD : ⬇️
Last Hour Change : -0.08 % || 10-05-2018 11:00
Price in #USD… https://t.co/SlSZam77eB",2018-05-10 09:00:00
9.95E+17,"RT @tihosay: Pre - ICO will begin April 15th, 2018 at 10:00 UTC.

https://t.co/guLMSGZZn7
https://t.co/ZSQarBXSSy

#tihosay #ICO #blockchai…",2018-05-10 08:53:00
9.94E+17,"RT @Thr_Official: #THR Journey 
$13.76 May 7 Day end 
May 8 - Grand Day 
Pic 1 $48 10.00 AM
Pic 2 $143.88 2 PM
Pic 3 $215 6 PM
#Listing #Pr…",2018-05-10 08:11:00
9.94E+17,"RT @FintruX: $FTX is scheduled to be listed on https://t.co/P49b5sovXY to start the second wave of exchanges! 
Deposits starts: May 10th 10…",2018-05-10 08:03:00
9.94E+17,"$FTX is scheduled to be listed on https://t.co/P49b5sovXY to start the second wave of exchanges! 
Deposits starts:… https://t.co/6984Gefmot",2018-05-10 08:02:00
9.94E+17,"#cryptocurrency Price Analysis for #Bitsend #BSD : ⬇️
Last Hour Change : -0.55 % || 10-05-2018 10:00
Price in #USD… https://t.co/qRZMVaiY2j",2018-05-10 08:00:00
9.94E+17,"RT @tihosay: Tihosay Pre-ICO will begin April 15th,2018 at 10:00:00 UTC.

https://t.co/guLMSGZZn7
https://t.co/ZSQarBXSSy

#tihosay #ICO #b…",2018-05-10 07:30:00
9.94E+17,"$BTC : -0.19%📉 9313$
Top (last h):
$ADI : +43.75%📈 702st
$VIPS : +13.98%📈 8st
$VEE : +10.51%📈 528st
$RIYA : +9.00%📈… https://t.co/SUxQ9awqnz",2018-05-10 07:30:00
9.94E+17,"#cryptocurrency Price Analysis for #Bitsend #BSD : ⬇️
Last Hour Change : -2.47 % || 10-05-2018 09:00
Price in #USD… https://t.co/tGQo5HNF8r",2018-05-10 07:00:00
9.94E+17,"RT @Thr_Official: #THR Journey 
$13.76 May 7 Day end 
May 8 - Grand Day 
Pic 1 $48 10.00 AM
Pic 2 $143.88 2 PM
Pic 3 $215 6 PM
#Listing #Pr…",2018-05-10 06:25:00
9.94E+17,"#cryptocurrency Price Analysis for #Bitsend #BSD : ⬇️
Last Hour Change : -0.19 % || 10-05-2018 08:00
Price in #USD… https://t.co/Y7b1Q8yZFn",2018-05-10 06:00:00
